Name,Location,Country,Distance,Time,Difficulty,Up,Down,Description,Lat,Lng
Amsterdamse Bos Walk #81,Amsterdam,Netherlands,6 km,1h30,Easy,20,20,Wooded trails and water canals near Amsterdam,52.301,4.85
Hoge Veluwe Park Loop #82,Otterlo,Netherlands,5.5 km,1h45,Easy,30,30,Forests and heathland with free bikes,52.11,5.81
Veluwezoom Posbank Walk #83,Rheden,Netherlands,6 km,2h,Easy,40,40,Heathlands and viewpoints,52.050000000000004,6.039999999999999
Dunes of Zandvoort Circuit #84,Zandvoort,Netherlands,5 km,1h30,Easy,25,25,Coastal dunes and sandy beaches,52.4,4.5600000000000005
Kinderdijk Windmills Path #85,Kinderdijk,Netherlands,4.5 km,1h15,Easy,10,10,UNESCO windmills walk,51.93,4.68
Texel Dunes Route #86,Texel Island,Netherlands,6 km,2h,Easy,35,35,Island dunes and bird areas,53.09,4.75
Giethoorn Canal Walk #87,Giethoorn,Netherlands,4 km,1h,Easy,5,5,Walk along canals in 'Dutch Venice',52.75,6.09
Schoorlse Duinen Hike #88,Schoorl,Netherlands,6 km,2h,Easy,40,40,Highest dunes with forest trails,52.74,4.67
Oisterwijk Forests & Fens #89,Oisterwijk,Netherlands,5.5 km,1h45,Easy,20,20,Lakes and fens in forest,51.61,5.23
Drents-Friese Wold Trail #90,Appelscha,Netherlands,6 km,2h,Easy,25,25,"Forests, heath, sands",52.98,6.39
Amsterdamse Bos Walk #91,Amsterdam,Netherlands,6 km,1h30,Easy,20,20,Wooded trails and water canals near Amsterdam,52.301,4.85
Hoge Veluwe Park Loop #92,Otterlo,Netherlands,5.5 km,1h45,Easy,30,30,Forests and heathland with free bikes,52.11,5.81
Veluwezoom Posbank Walk #93,Rheden,Netherlands,6 km,2h,Easy,40,40,Heathlands and viewpoints,52.050000000000004,6.039999999999999
Dunes of Zandvoort Circuit #94,Zandvoort,Netherlands,5 km,1h30,Easy,25,25,Coastal dunes and sandy beaches,52.4,4.5600000000000005
Kinderdijk Windmills Path #95,Kinderdijk,Netherlands,4.5 km,1h15,Easy,10,10,UNESCO windmills walk,51.93,4.68
Texel Dunes Route #96,Texel Island,Netherlands,6 km,2h,Easy,35,35,Island dunes and bird areas,53.09,4.75
Giethoorn Canal Walk #97,Giethoorn,Netherlands,4 km,1h,Easy,5,5,Walk along canals in 'Dutch Venice',52.75,6.09
Schoorlse Duinen Hike #98,Schoorl,Netherlands,6 km,2h,Easy,40,40,Highest dunes with forest trails,52.74,4.67
Oisterwijk Forests & Fens #99,Oisterwijk,Netherlands,5.5 km,1h45,Easy,20,20,Lakes and fens in forest,51.61,5.23
Drents-Friese Wold Trail #100,Appelscha,Netherlands,6 km,2h,Easy,25,25,"Forests, heath, sands",52.98,6.39
Amsterdamse Bos Walk #101,Amsterdam,Netherlands,6 km,1h30,Easy,20,20,Wooded trails and water canals near Amsterdam,52.301,4.85
Hoge Veluwe Park Loop #102,Otterlo,Netherlands,5.5 km,1h45,Easy,30,30,Forests and heathland with free bikes,52.11,5.81
Veluwezoom Posbank Walk #103,Rheden,Netherlands,6 km,2h,Easy,40,40,Heathlands and viewpoints,52.050000000000004,6.039999999999999
Dunes of Zandvoort Circuit #104,Zandvoort,Netherlands,5 km,1h30,Easy,25,25,Coastal dunes and sandy beaches,52.4,4.5600000000000005
Kinderdijk Windmills Path #105,Kinderdijk,Netherlands,4.5 km,1h15,Easy,10,10,UNESCO windmills walk,51.93,4.68
Texel Dunes Route #106,Texel Island,Netherlands,6 km,2h,Easy,35,35,Island dunes and bird areas,53.09,4.75
Giethoorn Canal Walk #107,Giethoorn,Netherlands,4 km,1h,Easy,5,5,Walk along canals in 'Dutch Venice',52.75,6.09
Schoorlse Duinen Hike #108,Schoorl,Netherlands,6 km,2h,Easy,40,40,Highest dunes with forest trails,52.74,4.67
Oisterwijk Forests & Fens #109,Oisterwijk,Netherlands,5.5 km,1h45,Easy,20,20,Lakes and fens in forest,51.61,5.23
Drents-Friese Wold Trail #110,Appelscha,Netherlands,6 km,2h,Easy,25,25,"Forests, heath, sands",52.98,6.39
